loan_id,Name,Gender,Marital_Status,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,loan_income_ratio,loan_asset_ratio,income_category,cibil_category,risk_level,eligibility_status
1,James Rodriguez,Male,Single,2,Graduate,No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Approved,50700000,3.11,0.59,Very High,Excellent,Low Risk,Eligible
2,Andrew B. Williams,Male,Single,0,Not Graduate,Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Rejected,17000000,2.98,0.72,Medium,Poor,Medium Risk,Not Eligible
3,Thomas R. Taylor,Male,Single,3,Graduate,No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Rejected,57700000,3.26,0.51,Very High,Poor,Medium Risk,Not Eligible
4,Jessica Z. Anderson,Female,Divorced,3,Graduate,No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Rejected,52700000,3.74,0.58,Very High,Poor,Medium Risk,Not Eligible
5,Mark Hernandez,Male,Single,5,Not Graduate,Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Rejected,55000000,2.47,0.44,Very High,Poor,Medium Risk,Not Eligible
6,Linda Williams,Female,Single,0,Graduate,Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Rejected,33900000,2.81,0.4,Medium,Poor,Medium Risk,Not Eligible
7,Michelle X. Rodriguez,Female,Married,5,Graduate,No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Approved,70800000,3.79,0.47,Very High,Good,Medium Risk,Eligible
8,Anthony U. Williams,Male,Married,2,Graduate,Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Rejected,36700000,2.63,0.41,High,Poor,Medium Risk,Not Eligible
9,Donna B. Miller,Female,Married,0,Graduate,Yes,800000,2200000,20,782,1300000,800000,2800000,600000,Approved,5500000,2.75,0.4,Low,Excellent,Low Risk,Eligible
10,Jennifer M. Davis,Female,Single,5,Not Graduate,No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Rejected,9500000,3.91,0.45,Low,Poor,Medium Risk,Not Eligible
